,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
2247,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,"10,000+",Paid,$6.99,Everyone,Medical,"June 17, 2017",Varies with device,Varies with device
2248,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,"10,000+",Paid,$10.00,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
2249,MommyMeds,MEDICAL,3.2,45,21M,"5,000+",Paid,$3.99,Everyone,Medical,"November 15, 2017",2.0.1,6.0 and up
2250,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,$5.99,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
2251,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,$24.99,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
2252,Essential Anatomy 3,MEDICAL,4.1,1533,42M,"50,000+",Paid,$11.99,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
2253,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,$79.99,Everyone,Medical,"June 18, 2018",19.0,4.0.3 and up
2254,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,$11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
2255,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361,33M,"50,000+",Paid,$2.99,Everyone,Medical,"July 17, 2018",2.4.4,4.0.3 and up
2256,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,$16.99,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
2257,ASRA Coags,MEDICAL,4.4,15,5.8M,"1,000+",Paid,$3.99,Everyone,Medical,"August 1, 2018",2.1,4.1 and up
2258,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,$2.99,Everyone,Medical,"April 25, 2018",1.17.0,4.0 and up
2259,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,$9.99,Everyone,Medical,"July 16, 2018",6.5.1,5.0 and up
2260,VeinSeek,MEDICAL,2.5,79,Varies with device,"1,000+",Paid,$3.99,Everyone,Medical,"December 6, 2017",Varies with device,Varies with device
2261,Block Buddy,MEDICAL,4.0,15,5.0M,"1,000+",Paid,$14.99,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
2262,Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23M,100+,Paid,$2.99,Everyone,Medical,"April 20, 2018",1.0,4.1 and up
2263,EMT Study - NREMT Test Prep,MEDICAL,4.3,35,862k,"5,000+",Paid,$3.99,Everyone,Medical,"December 3, 2014",1.1,4.0.3 and up
2264,Calcium Pro,MEDICAL,3.4,77,9.9M,"5,000+",Paid,$2.99,Everyone,Medical,"April 18, 2017",1.6.2,4.0.3 and up
2265,Arrhythmias and Dysrhythmias,MEDICAL,,3,24M,500+,Paid,$1.00,Everyone,Medical,"January 24, 2016",1.0,4.2 and up
2266,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,$29.99,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
2267,Pocket Lab Values,MEDICAL,4.3,214,899k,"10,000+",Paid,$2.99,Everyone,Medical,"November 22, 2012",2.5,2.1 and up
2268,Medical terms (OFFLINE),MEDICAL,4.4,104,38M,"1,000+",Paid,$2.99,Teen,Medical,"May 24, 2018",3.2.0,4.1 and up
2269,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,$12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
2270,ERres- Emergency Medicine,MEDICAL,4.2,45,14M,"1,000+",Paid,$4.99,Everyone,Medical,"August 18, 2015",6.0,4.0 and up
2271,FHR 5-Tier 2.0,MEDICAL,5.0,2,1.2M,500+,Paid,$2.99,Everyone,Medical,"December 16, 2015",1.0,4.0 and up
2272,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,$14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up
2273,OptoDrum,MEDICAL,3.9,10,378k,"1,000+",Paid,$5.99,Everyone,Medical,"May 26, 2015",1.0,3.0 and up
2274,"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,22M,500+,Paid,$3.49,Everyone,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up
2275,Blood Pressure Companion,MEDICAL,4.2,178,4.8M,"1,000+",Paid,$0.99,Everyone,Medical,"July 22, 2018",4.1.5 (Steglitz),4.1 and up
2276,Visual Anatomy 2,MEDICAL,4.4,576,Varies with device,"5,000+",Paid,$2.49,Everyone,Medical,"August 5, 2017",Varies with device,Varies with device
2277,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,$24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up
2278,CCHT PREP,MEDICAL,3.6,25,266k,"1,000+",Paid,$10.99,Everyone,Medical,"December 8, 2016",1.2,2.1 and up
2279,Paramedic Meds,MEDICAL,4.5,163,375k,"10,000+",Paid,$1.99,Everyone,Medical,"August 3, 2015",3.4.3,1.6 and up
2280,Advanced Comprehension Therapy,MEDICAL,,3,62M,100+,Paid,$24.99,Everyone,Medical,"October 5, 2017",1.2,4.0.3 and up
2281,OmniMedix Medical Calculator,MEDICAL,4.7,25,1.2M,"1,000+",Paid,$4.99,Everyone,Medical,"June 11, 2016",3.1.6,3.0 and up
2282,Breathing Zone,MEDICAL,4.6,319,Varies with device,"5,000+",Paid,$3.99,Everyone,Medical,"March 6, 2018",Varies with device,Varies with device
2283,Lab Values + Medical Reference,MEDICAL,4.5,133,2.8M,"10,000+",Paid,$2.99,Everyone,Medical,"August 2, 2014",3.0,2.3 and up
2284,Recognise Foot,MEDICAL,4.2,9,95M,"1,000+",Paid,$7.49,Everyone,Medical,"September 14, 2017",1.0.3,4.1 and up
2285,Anti Mosquito simulation,MEDICAL,4.2,74,2.6M,"1,000+",Paid,$1.50,Everyone,Medical,"September 6, 2014",1.0,2.3.3 and up
2286,Pain Tracker & Diary,MEDICAL,4.3,3,4.6M,100+,Paid,$2.99,Everyone,Medical,"January 2, 2018",1.50,4.1 and up
2287,Menstrual Calendar Premium,MEDICAL,4.4,4207,Varies with device,"50,000+",Paid,$3.99,Everyone,Medical,"July 26, 2013",Varies with device,Varies with device
2288,Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1M,"1,000+",Paid,$1.99,Everyone,Medical,"March 2, 2017",1.2,4.1 and up
2289,Critical Care Paramedic Review,MEDICAL,4.4,17,1.8M,"1,000+",Paid,$9.99,Everyone 10+,Medical,"May 14, 2018",2.0.5,4.4W and up
2290,With Helper Pro Pill Reminder,MEDICAL,4.6,358,Varies with device,"5,000+",Paid,$3.99,Everyone,Medical,"October 25, 2017",Varies with device,Varies with device
2291,Manage My Pain Pro,MEDICAL,4.4,726,Varies with device,"5,000+",Paid,$3.99,Everyone,Medical,"March 5, 2018",Varies with device,Varies with device
2292,"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4.2,33,53M,"1,000+",Paid,$3.99,Everyone,Medical,"May 8, 2018",2.29,4.2 and up
2293,Acupuncture Assistant,MEDICAL,4.5,492,39M,"10,000+",Paid,$7.99,Everyone,Medical,"April 13, 2018",4.4.5,4.1 and up
2294,Number Therapy,MEDICAL,,0,5.3M,50+,Paid,$14.99,Everyone,Medical,"October 3, 2017",1.0,4.0.3 and up
2295,InfantRisk Center HCP,MEDICAL,2.6,41,14M,"1,000+",Paid,$9.99,Everyone,Medical,"May 6, 2015",1.3.4,2.3.3 and up
2296,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,$3.99,Everyone,Medical,"January 8, 2017",2.1,2.1 and up
2297,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,$19.99,Everyone,Medical,"June 5, 2017",6.0.4,4.1 and up
2298,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,$29.99,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
2299,Navi Radiography Pro,MEDICAL,4.7,11,100M,500+,Paid,$15.99,Everyone,Medical,"January 14, 2018",1.2.0,4.0.3 and up
2300,Nursing Care Plan NANDA Tables,MEDICAL,3.0,4,3.4M,500+,Paid,$0.99,Everyone,Medical,"May 9, 2017",1.0,2.3.3 and up
2301,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,$33.99,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
2302,palmPEDi: Pediatric Tape,MEDICAL,4.6,66,2.6M,"5,000+",Paid,$0.99,Everyone,Medical,"December 2, 2013",4.1,3.2 and up
2365,Vargo Anesthesia Mega App,MEDICAL,4.6,92,32M,"1,000+",Paid,$79.99,Everyone,Medical,"June 18, 2018",19.0,4.0.3 and up
2366,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,$9.00,Everyone,Medical,"July 16, 2018",2.0.7,4.0 and up
2372,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921,25M,"100,000+",Paid,$24.99,Everyone,Medical,"May 25, 2018",2018.5.47,5.0 and up
2378,ASCCP Mobile,MEDICAL,4.5,63,25M,"10,000+",Paid,$9.99,Everyone,Medical,"October 3, 2016",2.1.1,2.2 and up
2380,Paramedic Protocol Provider,MEDICAL,4.5,171,20M,"10,000+",Paid,$10.00,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up
2385,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12,3.8M,"1,000+",Paid,$16.99,Everyone,Medical,"January 27, 2017",1.0.5,4.0.3 and up
2386,Essential Anatomy 3,MEDICAL,4.1,1533,42M,"50,000+",Paid,$11.99,Mature 17+,Medical,"August 7, 2014",1.1.3,4.0.3 and up
2387,EMT PASS,MEDICAL,3.4,51,2.4M,"1,000+",Paid,$29.99,Everyone,Medical,"October 22, 2014",2.0.2,4.0 and up
2389,Block Buddy,MEDICAL,4.0,15,5.0M,"1,000+",Paid,$14.99,Everyone,Medical,"August 1, 2018",7.6.14,4.0 and up
2390,Language Therapy: Aphasia,MEDICAL,,10,28M,"1,000+",Paid,$74.99,Everyone,Medical,"June 25, 2018",3.1.1,4.0.3 and up
2395,EMT Review Plus,MEDICAL,4.5,199,1.8M,"10,000+",Paid,$11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
2398,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,"10,000+",Paid,$6.99,Everyone,Medical,"June 17, 2017",Varies with device,Varies with device
2399,Pedi STAT,MEDICAL,4.6,129,2.9M,"10,000+",Paid,$5.49,Everyone,Medical,"April 6, 2018",3.0.1.0,4.1 and up
2400,AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,$14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up
2401,Diabetes & Diet Tracker,MEDICAL,4.6,395,19M,"1,000+",Paid,$9.99,Everyone,Medical,"July 16, 2018",6.5.1,5.0 and up
2402,A Manual of Acupuncture,MEDICAL,3.5,214,68M,"1,000+",Paid,$33.99,Everyone,Medical,"October 2, 2017",2.1.35,4.0 and up
2406,PTA Content Master,MEDICAL,4.2,64,41M,"1,000+",Paid,$29.99,Everyone,Medical,"December 22, 2015",2.1,2.2 and up
2407,"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,$24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up
2409,"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8,6.5M,100+,Paid,$12.99,Everyone,Medical,"July 25, 2018",7,3.0 and up
2414,LTC AS Legal,MEDICAL,4.0,6,1.3M,100+,Paid,$39.99,Everyone,Medical,"April 4, 2018",3.0.1,4.1 and up
2416,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,5.4M,"5,000+",Paid,$5.99,Everyone,Medical,"May 31, 2018",6.5.0,5.0 and up
2418,IBM Micromedex Drug Info,MEDICAL,3.8,206,9.5M,"10,000+",Paid,$2.99,Everyone,Medical,"April 25, 2018",1.17.0,4.0 and up
2419,Advanced Comprehension Therapy,MEDICAL,,3,62M,100+,Paid,$24.99,Everyone,Medical,"October 5, 2017",1.2,4.0.3 and up
2420,Hospitalist Handbook,MEDICAL,4.8,12,18M,"1,000+",Paid,$19.99,Everyone,Medical,"June 5, 2017",6.0.4,4.1 and up
2422,Visualmed,MEDICAL,,0,3.1M,1+,Paid,$2.99,Everyone,Medical,"August 1, 2018",1.0,4.1 and up
2423,ABG Master,MEDICAL,,2,1.8M,50+,Paid,$0.99,Everyone,Medical,"August 4, 2018",1.1,4.1 and up
2424,OrthoFlow,MEDICAL,,0,66M,10+,Paid,$5.99,Everyone,Medical,"July 15, 2018",1.0.0,4.2 and up
2425,Be the Expert in Phlebotomy - Professional Nursing,MEDICAL,,0,5.0M,1+,Paid,$0.99,Everyone,Medical,"July 24, 2018",1.0,4.0.3 and up
2883,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,$5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
2906,Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865,6.9M,"100,000+",Paid,$2.99,Everyone,Photography,"November 6, 2014",4.70,2.2 and up
2912,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,$5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
2913,Camera FV-5,PHOTOGRAPHY,3.8,16320,Varies with device,"100,000+",Paid,$3.95,Everyone,Photography,"November 10, 2017",Varies with device,Varies with device
2950,Facetune - For Free,PHOTOGRAPHY,4.4,49553,48M,"1,000,000+",Paid,$5.99,Everyone,Photography,"July 25, 2018",1.3.1,4.1 and up
3039,Golfshot Plus: Golf GPS,SPORTS,4.1,3387,25M,"50,000+",Paid,$29.99,Everyone,Sports,"July 11, 2018",4.18.0,4.1 and up
3403,Beautiful Widgets Pro,PERSONALIZATION,4.2,97890,14M,"1,000,000+",Paid,$2.49,Everyone,Personalization,"August 24, 2016",5.7.8,2.3 and up
3405,HD Widgets,PERSONALIZATION,4.3,58617,26M,"1,000,000+",Paid,$0.99,Everyone,Personalization,"December 7, 2016",4.3.2,4.4 and up
3408,Kairo XP (for HD Widgets),PERSONALIZATION,4.4,1591,779k,"10,000+",Paid,$0.99,Everyone,Personalization,"January 7, 2015",1.1,4.0.3 and up
3441,BIG Launcher,PERSONALIZATION,4.3,881,5.9M,"10,000+",Paid,$9.99,Everyone,Personalization,"June 20, 2018",2.5.9,2.1 and up
3442,Smart Launcher Pro 3,PERSONALIZATION,4.6,40704,Varies with device,"100,000+",Paid,$4.49,Everyone,Personalization,"March 16, 2018",Varies with device,Varies with device
3564,aCalendar+ Calendar & Tasks,PRODUCTIVITY,4.6,26919,Varies with device,"100,000+",Paid,$5.99,Everyone,Productivity,"June 25, 2018",Varies with device,Varies with device
3658,Weather Live Pro,WEATHER,4.8,17493,11M,"100,000+",Paid,$4.49,Everyone,Weather,"April 20, 2018",1.3,4.4 and up
3957,ADS-B Driver,TOOLS,5.0,2,6.3M,100+,Paid,$1.99,Everyone,Tools,"May 15, 2018",1.19,4.4 and up
3959,B-17 Flying Fortress WWII LWP,PERSONALIZATION,,7,14M,100+,Paid,$1.49,Everyone,Personalization,"December 22, 2016",1.0,4.1 and up
3964,Smart Launcher theme b. gold,PERSONALIZATION,4.1,291,35M,"5,000+",Paid,$1.99,Everyone,Personalization,"October 22, 2016",2.20,2.0 and up
3965,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,8.4M,"10,000+",Paid,$3.99,Everyone,Medical,"January 8, 2017",2.1,2.1 and up
3966,Next Launcher 3D Theme Hit-B,PERSONALIZATION,4.4,83,8.6M,"1,000+",Paid,$1.70,Everyone,Personalization,"August 16, 2015",1.05,2.2 and up
3968,B-52 Spirits of Glory Deluxe,GAME,4.3,12,29M,100+,Paid,$0.99,Everyone,Arcade,"September 2, 2017",1.5.9,2.3 and up
3977,B-Grade Renegade,GAME,3.9,24,64M,"1,000+",Paid,$1.99,Teen,Action,"October 17, 2017",0.8.17,3.2 and up
3985,CURSUM B,GAME,,30,26M,500+,Paid,$0.99,Everyone,Racing,"June 20, 2017",1.0.0,2.3 and up
3993,C4droid - C/C++ compiler & IDE,FAMILY,4.7,2890,Varies with device,"50,000+",Paid,$2.99,Everyone,Education,"August 26, 2017",Varies with device,Varies with device
3997,C Locker Pro,PERSONALIZATION,4.2,1531,7.7M,"10,000+",Paid,$2.99,Everyone,Personalization,"December 5, 2017",8.3.4,4.1 and up
